Data,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado,Alvo,Total_Gols,Media_Gols_Mandante,Media_Gols_Visitante
2012-09-12,Portuguesa,Fluminense,0.0,2.0,A,2.0,2.0,1.0434782608695652,1.6521739130434783
2012-09-13,Atletico GO,Coritiba,1.0,2.0,A,2.0,3.0,1.0,1.5217391304347827
2012-09-13,Sport Recife,Bahia,1.0,1.0,D,0.0,2.0,0.8260869565217391,1.0
2012-09-13,Atletico-MG,Sao Paulo,1.0,0.0,H,1.0,1.0,1.7272727272727273,1.4782608695652173
2012-09-13,Santos,Flamengo RJ,2.0,0.0,H,1.0,2.0,1.1304347826086956,1.0454545454545454
2012-09-13,Vasco,Palmeiras,3.0,1.0,H,1.0,4.0,1.2173913043478262,0.9130434782608695
2012-09-14,Botafogo RJ,Internacional,1.0,1.0,D,0.0,2.0,1.6521739130434783,1.173913043478261
2012-09-14,Gremio,Nautico,2.0,0.0,H,1.0,2.0,1.4782608695652173,1.2608695652173914
2012-09-15,Sao Paulo,Portuguesa,3.0,1.0,H,1.0,4.0,1.4166666666666667,1.0
2012-09-15,Fluminense,Atletico GO,1.0,2.0,A,2.0,3.0,1.6666666666666667,1.0
2012-09-16,Flamengo RJ,Gremio,1.0,1.0,D,0.0,2.0,1.0,1.5
2012-09-16,Ponte Preta,Botafogo RJ,0.0,0.0,D,0.0,0.0,1.25,1.625
2012-09-16,Palmeiras,Corinthians,0.0,2.0,A,2.0,2.0,0.9166666666666666,1.0833333333333333
2012-09-16,Internacional,Sport Recife,2.0,2.0,D,0.0,4.0,1.1666666666666667,0.8333333333333334
2012-09-16,Cruzeiro,Vasco,1.0,1.0,D,0.0,2.0,1.2916666666666667,1.2916666666666667
2012-09-16,Coritiba,Santos,1.0,2.0,A,2.0,3.0,1.5416666666666667,1.1666666666666667
2012-09-16,Bahia,Figueirense,2.0,1.0,H,1.0,3.0,1.0,1.125
2012-09-16,Nautico,Atletico-MG,1.0,0.0,H,1.0,1.0,1.2083333333333333,1.6956521739130435
2012-09-22,Figueirense,Palmeiras,1.0,3.0,A,2.0,4.0,1.12,0.88
2012-09-22,Fluminense,Nautico,2.0,1.0,H,1.0,3.0,1.64,1.2
2012-09-23,Sport Recife,Coritiba,1.0,0.0,H,1.0,1.0,0.88,1.52
2012-09-23,Internacional,Bahia,3.0,1.0,H,1.0,4.0,1.2,1.04
2012-09-23,Atletico-MG,Gremio,0.0,0.0,D,0.0,0.0,1.625,1.48
2012-09-23,Sao Paulo,Cruzeiro,1.0,0.0,H,1.0,1.0,1.48,1.28
2012-09-23,Botafogo RJ,Corinthians,2.0,2.0,D,0.0,4.0,1.56,1.12
2012-09-23,Atletico GO,Flamengo RJ,1.0,2.0,A,2.0,3.0,1.04,1.0
2012-09-23,Santos,Portuguesa,1.0,3.0,A,2.0,4.0,1.2,1.0
2012-09-23,Ponte Preta,Vasco,0.0,0.0,D,0.0,0.0,1.2,1.28
2012-09-27,Flamengo RJ,Atletico-MG,2.0,1.0,H,1.0,3.0,1.04,1.56
2012-09-29,Cruzeiro,Internacional,0.0,0.0,D,0.0,0.0,1.2307692307692308,1.2692307692307692
2012-09-29,Nautico,Atletico GO,2.0,0.0,H,1.0,2.0,1.1923076923076923,1.0384615384615385
2012-09-29,Portuguesa,Atletico-MG,1.0,1.0,D,0.0,2.0,1.0769230769230769,1.5384615384615385
2012-09-29,Vasco,Figueirense,3.0,1.0,H,1.0,4.0,1.2307692307692308,1.1153846153846154
2012-09-30,Flamengo RJ,Fluminense,0.0,1.0,A,2.0,1.0,1.0769230769230769,1.6538461538461537
2012-09-30,Gremio,Santos,1.0,1.0,D,0.0,2.0,1.4230769230769231,1.1923076923076923
